trip_id,start_time,end_time,headway_secs,exact_times
08e720a2-7911-4264-a7c4-923ee8fae288,22:00:00,29:00:00,3600,0
73f0c616-e055-487d-a27e-768479e2b2b8,04:00:00,05:00:00,3600,0
0941c0bf-4fd1-4fa8-ba7e-76f8703d4194,10:00:00,12:00:00,1200,0
8eeae98c-4f60-4e3a-b524-22789faffb37,12:00:00,13:00:00,900,0
bb9ec3c2-57e8-4e81-8e08-f0aa3ac7a9ad,25:00:00,26:00:00,900,0
cee6859f-e491-4f46-897f-8c4f829ac806,25:00:00,28:00:00,3600,0
360bb539-c90c-44cd-8583-915e5adc2d6f,05:00:00,06:00:00,900,0
78be34ba-a26d-454e-8d24-5ef3a9a57d67,15:00:00,18:00:00,900,0
ed72d6ea-e8e9-4e3f-9fbc-d8e58605812c,04:00:00,05:00:00,1800,0
ff0bfae9-48b8-4970-81e4-d4666aea12fe,07:00:00,09:00:00,600,0
dc571ebf-8690-420d-8952-434209fc95f1,17:00:00,18:00:00,720,0
1130ec0d-83ae-4264-b9f1-2baa6c459c0b,05:00:00,06:00:00,1800,0
0653f38a-0d1e-4d11-b979-55357fd0ba1c,08:30:00,09:00:00,1800,0
8fa015df-af6f-4265-ad80-3c59c7617b29,12:00:00,12:48:00,480,0
432c1cef-8544-496c-b411-3c39699b1917,17:00:00,17:48:00,480,0
8273922f-2724-404a-a222-43db93aff639,10:00:00,11:00:00,720,0
1d61a345-1657-44db-9e4e-e60cfa386a01,14:00:00,15:00:00,600,0
76a8bd31-3be3-4d42-8a23-a3d081adcd73,16:00:00,17:00:00,720,0
eb9d8490-3854-4244-b0fa-c94f55adf3ee,12:00:00,14:00:00,1200,0
9d750acc-ff59-4e7c-8d6c-a05e8b2402f6,14:00:00,20:00:00,1800,0
99cbe101-b7ae-41ae-9ccb-7fa61b783d52,05:00:00,06:00:00,1800,0
1c91ab61-39a9-42e8-99d6-4a41af5502fa,07:00:00,08:00:00,1800,0
c1632bfd-d280-4476-a0b6-6f50451fb425,22:00:00,23:00:00,1200,0
3cc38763-551a-4fbc-880d-4d7894962cec,23:00:00,28:00:00,3600,0
939b61f0-fa4f-4c16-9bc1-cf5e1fd9b5c7,22:00:00,28:00:00,3600,0
020f06d9-a8fb-4629-a26a-d126ea91d508,14:00:00,16:00:00,1200,0
f768861d-9bcc-487f-bd5b-0b16ae9a753f,23:00:00,29:00:00,3600,0
1efad1d4-9794-44ea-adea-c7f2694685c4,26:00:00,27:00:00,1200,0
a06c10e2-c3c8-4e87-85e4-f20c5347f834,05:00:00,06:00:00,1200,0
55a67cb5-9614-4a63-8942-cfa7ae8763b9,22:00:00,23:00:00,1800,0
66336ded-5779-4800-bcde-c7e67c86ddfb,23:00:00,29:00:00,3600,0
47df9bd7-64dc-48ee-be6c-2086af8f6ef6,23:00:00,24:00:00,1800,0
