trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
4c22ca8d-db67-4d5a-8b9d-5ed7bbdb768a,O0636AAA0A,S_REG,Merck,636,1,0dz6
49573721-646a-41a5-b6b2-73197f15915a,O0867AAA0A,U_REG,Barra de Guaratiba,867,1,e9ed4c81-0e5d-4cea-850b-58621b3e49c0
833ca7fd-e381-4476-a978-6f65a38b9673,O0867AAA0A,U_REG,Barra de Guaratiba,867,1,e9ed4c81-0e5d-4cea-850b-58621b3e49c0
3ef5c7f8-80e2-4ac3-8b3b-a1e10ca61433,O0867AAA0A,U_REG,Barra de Guaratiba,867,1,e9ed4c81-0e5d-4cea-850b-58621b3e49c0
5f815b55-4649-428d-8ee3-473930d4cba0,O0954AAA0A,S_REG,Terminal Taquara,954,1,znd4
35be7597-606c-4052-96c1-c415ecddf9d6,O0624AAV0A,D_REG,Mariópolis,SV624,1,bmph
cdb5c7f9-679f-4481-b637-f55a62edf9dd,O0133AAA0A,D_REG,Terminal Gentileza,133,0,a20e6a6d-a5d4-4ea1-8ab1-1da972ef6011
9f963143-ede6-499c-aea6-289cc00b40e6,O0691AAA0A,U_REG,Méier,691,1,tbv0
ad047f0d-adec-405c-946f-cb9780e35799,O0133AAA0A,D_REG,Terminal Gentileza,133,0,a20e6a6d-a5d4-4ea1-8ab1-1da972ef6011
9e653be7-f315-441e-a96b-48e250556033,O0133AAA0A,D_REG,Terminal Gentileza,133,0,a20e6a6d-a5d4-4ea1-8ab1-1da972ef6011
1130ec0d-83ae-4264-b9f1-2baa6c459c0b,O0410AAA0A,U_REG,Saens Peña,410,1,ld39
363d52cd-8735-4e82-accd-20cebe209e5f,O0774AAV0A,D_REG,Madureira,SV774,1,kdrb
edad170a-6a4c-4172-84f5-04ee9faab962,O0774AAV0A,D_REG,Madureira,SV774,1,kdrb
c98a5a45-7038-42d7-9c48-8e3381d8ce2f,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
a01c0629-c004-4e42-b6a6-424917fffd32,O0112AAA0A,U_REG,Terminal Gentileza,112,1,O0112AAA0AVDU03
d94ddb32-e277-4e1b-b3ea-6b48c58cf5e3,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
9907ae80-ccd9-4c97-ae8c-478c484c544c,O0133AAA0A,U_REG,Largo do Machado,133,1,5a65e29a-25a0-49e4-a861-1601b80d5a7b
88f04092-ea92-4ec0-a837-c3f02e4c3951,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
b55c1852-a3d2-4ce1-83aa-6caffdd075b9,O0606AAV0A,U_REG,Engenho de Dentro,SV606,1,41i6
028185e8-6700-40ff-a1c6-42f2388d6d39,O0606AAV0A,U_REG,Engenho de Dentro,SV606,1,41i6
0dbb8564-b4b1-4c56-944a-082dd5b68d1d,O0606AAV0A,U_REG,Engenho de Dentro,SV606,1,41i6
bfd5bde0-7c87-41a5-b1cf-9474b4b27ff3,O0691AAA0A,S_REG,Méier,691,1,tbv0
2f2f6cac-a1e6-4680-ab35-ae52118370ec,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
f06f77de-524c-4cda-9cb7-7602170feba0,O0133AAA0A,U_REG,Largo do Machado,133,1,5a65e29a-25a0-49e4-a861-1601b80d5a7b
5c0417f0-e512-4776-8aeb-15c8d966fb42,O0483AAV0A,U_REG,Penha,SV483,0,4dox
b6d85c22-2ab3-45d5-9735-3996310a8db3,O0323AAA0A,S_REG,Bananal,323,1,63ul
6d0a7d06-a616-4719-903d-969fecaa8014,O0300AAA0A,D_REG,Candelária,300,0,6ph8
0653f38a-0d1e-4d11-b979-55357fd0ba1c,O0410AAA0A,U_REG,Saens Peña,410,1,ld39
8fa015df-af6f-4265-ad80-3c59c7617b29,O0410AAA0A,U_REG,Saens Peña,410,1,ld39
432c1cef-8544-496c-b411-3c39699b1917,O0410AAA0A,U_REG,Saens Peña,410,1,ld39
8273922f-2724-404a-a222-43db93aff639,O0422AAA0A,U_REG,Cosme Velho,422,0,n6im
1d61a345-1657-44db-9e4e-e60cfa386a01,O0422AAA0A,U_REG,Cosme Velho,422,0,n6im
50758497-feb5-4fdb-aa79-efe1fe3c1dd0,O0415AAA0A,U_REG,Leblon,415,0,0snx
f801fe0d-283d-459c-8ff7-7f1caefe0cf9,O0483AAV0A,U_REG,Penha,SV483,0,4dox
f572a035-198a-4e5e-9992-f556f8c6a2bd,O0315AAA0A,U_REG,Central,315,1,4rzh
cd446c91-74c4-4bc5-ac48-f10403dbfc57,O0415AAA0A,U_REG,Leblon,415,0,0snx
d467a2d3-0bed-43bd-a807-8f9ccd8ece47,O0415AAA0A,U_REG,Leblon,415,0,0snx
db79835c-ad26-44ea-89ed-495c95d9436a,O0422AAA0A,U_REG,Grajaú,422,1,4e7e
7f4a9be4-2da1-4a2b-86ec-5b322fdd4483,O0483AAV0A,U_REG,Penha,SV483,0,4dox
c0ac5d66-33f7-4e0f-b090-53021c9f740f,E2342AAA0A,U_REG,Bananal,2342,1,ac19
1afabc16-2d74-470c-89e5-e78f3129abc9,E2342AAA0A,U_REG,Bananal,2342,1,ac19
6f823fbe-5cd7-4f1f-8962-29fb4158e2a7,E2343AAA0A,U_REG,Ribeira,2343,1,dtsa
39a995e6-6453-4853-9e52-159180e6242e,O0324AAA0A,S_REG,Candelária,324,0,pp88
433fd071-749c-4572-ae88-0527305fc4e5,E2305AAA0A,U_REG,Castelo,2305,0,o0it
3cad6479-09e0-4748-bdfe-bfee9d5439ef,E2305AAA0A,U_REG,Castelo,2305,0,o0it
7266bcf8-8e9f-46ad-8e2f-d0ec235af1a7,O0324AAA0A,U_REG,Candelária,324,0,pp88
2787e0d9-d1a0-4e1f-802c-a8d202a93b95,O0483AAV0A,U_REG,Penha,SV483,0,4dox
04e6b1f0-db82-4fdb-a438-260c991c14a8,O0422AAA0A,U_REG,Grajaú,422,1,4e7e
f06d6efd-af8b-4204-bf6b-a8f85abd40f0,O0383AAA0A,U_REG,Praça da República,383,0,82cc8479-53d1-4b34-8ffb-f1bd5478bc28
04aa47da-fa26-4f5d-8c6f-f2922487100d,O0422AAA0A,U_REG,Grajaú,422,1,4e7e
4e2492e5-4ff2-40a4-ae47-1a1978c7b805,O0774AAV0A,U_REG,Madureira,SV774,1,kdrb
bee33805-72da-4fcf-b556-402cef2ab347,O0774AAV0A,U_REG,Jardim América,SV774,0,o0sw
ed72d6ea-e8e9-4e3f-9fbc-d8e58605812c,O0426AAA0A,S_REG,Jardim de Alah,426,0,iy3o
